Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
01468 19701001 20231206 797 48.4538 8.4090 Freudenstadt Baden-Wurttemberg
01490 19650101 20231206 394 47.6454 9.4795 Friedrichshafen Baden-Wurttemberg
01503 20121001 20231206 6 53.0643 7.9020 Friesoythe-Altenoythe Niedersachsen
01505 19750101 20071031 222 51.1333 9.2833 Fritzlar-Kasseler_Warte Hessen
01515 19690101 19911231 519 48.2000 11.2667 Furstenfeldbruck Bayern
01526 19770301 19930729 242 50.5668 9.6532 Fulda-Horas Hessen
01544 19590101 20231206 47 52.5129 11.3942 Gardelegen Sachsen-Anhalt
01550 19690101 20231206 719 47.4830 11.0621 Garmisch-Partenkirchen Bayern
01572 19821201 20041231 80 50.9593 6.0392 Geilenkirchen-Neutevern Nordrhein-Westfalen
01580 19510101 20231206 111 49.9859 7.9548 Geisenheim Hessen
01587 20031210 20231206 536 48.9481 11.4289 Gelbelsee Bayern
01605 19820101 20231206 35 52.3875 12.1602 Genthin Sachsen-Anhalt
01612 19730101 20231206 311 50.8812 12.1289 Gera-Leumnitz Thuringen
01639 19390101 20231206 203 50.6017 8.6439 Giessen/Wettenberg Hessen
01666 19710101 20071231 12 54.8273 9.5058 Glucksburg-Meierwik Schleswig-Holstein
01672 19740101 19780630 19 51.6833 6.1667 Goch Nordrhein-Westfalen
01684 19630101 20231206 239 51.1621 14.9506 Gorlitz Sachsen
01689 19900701 19920630 441 49.7656 11.3062 Gossweinstein Bayern
01691 19690101 20231206 167 51.5002 9.9507 Gottingen Niedersachsen
01694 19810901 20231206 59 53.6058 12.1034 Goldberg Mecklenburg-Vorpommern
01757 19780101 20231206 2 54.0967 13.4056 Greifswald Mecklenburg-Vorpommern
01758 19610101 19771231 2 54.1000 13.4500 Greifswald-Wieck Mecklenburg-Vorpommern
01759 20001025 20231206 12 54.2437 13.9102 Greifswalder_Oie Mecklenburg-Vorpommern
01766 19820101 20231206 48 52.1344 7.6969 Munster/Osnabruck Nordrhein-Westfalen
01803 19910101 20231206 35 54.0714 12.3238 Gross_Lusewitz Mecklenburg-Vorpommern
01831 19830901 20040827 1449 49.1129 13.1365 Grosser_Arber_(Ost) Bayern
01832 19821101 20231206 1436 49.1129 13.1338 Grosser_Arber Bayern
01834 19730101 19780630 913 50.8519 10.4665 Grosser_Inselsberg Thuringen
01869 19810101 20231206 56 53.3154 13.9339 Grunow Brandenburg
01874 19800401 19921124 320 51.8000 10.2167 Grund,_Bad_(Erzbergwerk) Niedersachsen
